,Company/Brand,HeadQuarter,Sector,What it does,Investor,Amount($),Stage,Year
69,Toppr,"Mumbai, Maharashtra, India","EdTech, Education, Knowledge Management",Toppr.com is an online preparation platform for entrance exams in India.,Undisclosed,35000000.0,Series C,2018
70,Jagaran Microfin,"Kolkata, West Bengal, India",—,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,Undisclosed,8040936.0,Debt Financing,2018
71,Vivriti Capital,"Chennai, Tamil Nadu, India",Financial Services,Vivriti Capital is an online platform for institutional debt in India.,Undisclosed,28500000.0,Venture - Series Unknown,2018
72,Be U Salons,"New Delhi, Delhi, India","Apps, Beauty, Consumer, Retail",Be U is India's first subscription based Salon Chain.,Undisclosed,438596.0,Seed,2018
73,Impact Guru,"Mumbai, Maharashtra, India","Creative Agency, Crowdfunding, EdTech, Health Care, Internet, Medical, Non Profit, Personal Health","We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",Undisclosed,2000000.0,Series A,2018
74,MobiKwik,"Gurgaon, Haryana, India","Consumer Lending, Financial Services, FinTech, Insurance, Lending, Mobile Payments, Payments, Wealth Management",MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,Undisclosed,3508772.0,Series E,2018
75,Stones2Milestones,"Gurgaon, Haryana, India","E-Learning, Education, Higher Education",Stones2milestones is a Gurgaon Based Learning Company.,Undisclosed,1140351.0,Seed,2018
76,Generico,"Mumbai, Maharashtra, India","Health Care, Medical, Pharmaceutical",Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,Undisclosed,1140351.0,Series A,2018
77,Adiuvo Diagnostics,"Chennai, Tamil Nadu, India",Health Diagnostics,Adiuvo Diagnostics is a medical diagnostic device company based in India.,Undisclosed,1140351.0,Seed,2018
78,DataTrained,"Bangalore, Karnataka, India","EdTech, Education","DataTrained is a educational platform, which operates an ed-tech startup on data science",Undisclosed,1754386.0,Seed,2018
79,OneAssist,"Mumbai, Maharashtra, India","Financial Services, SaaS, Security",OneAssist is a protection & assistance services platform.,Undisclosed,2400000.0,Debt Financing,2018
80,Satin Creditcare Network Limited (SCNL),"New Delhi, Delhi, India","Banking, Finance, Financial Services, Non Profit",Satin is a non-banking finance company providing individual loans to urban shopkeepers.,Undisclosed,30000000.0,Post-IPO Debt,2018
81,APAC Financial Services,"Mumbai, Maharashtra, India","Finance, Financial Services",APAC Financial Services is a financial services platform.,Undisclosed,36549708.0,Private Equity,2018
